Date,Harga_BawangMerah_Forecast
2024-10-01,25524.06483560128
2024-10-02,25433.841929140606
2024-10-03,25378.88778922274
2024-10-04,25382.308052115113
2024-10-05,25308.89814488827
2024-10-06,25353.15498148465
2024-10-07,25340.94424776042
2024-10-08,25315.2823961065
2024-10-09,25344.052842789446
2024-10-10,25373.09453931312
2024-10-11,25445.631417251258
2024-10-12,25414.560735991792
2024-10-13,25478.06732949717
2024-10-14,25466.676632543087
2024-10-15,25422.671285865265
2024-10-16,25430.046227726954
2024-10-17,25433.95869231708
2024-10-18,25497.479656674943
2024-10-19,25452.093809979895
2024-10-20,25496.55183851112
2024-10-21,25466.664956225442
2024-10-22,25401.69343394447
2024-10-23,25407.037594713813
2024-10-24,25416.640018711296
2024-10-25,25498.157781276765
2024-10-26,25465.825159533117
2024-10-27,25519.451791952317
2024-10-28,25513.853446729576
2024-10-29,25470.417545081626
2024-10-30,25507.74673260004
2024-10-31,25569.578223612167
2024-11-01,25558.42823843728
2024-11-02,25635.01679859903
2024-11-03,25756.887016775283
2024-11-04,25836.77548393982
2024-11-05,25884.073552194182
2024-11-06,25965.82124839948
2024-11-07,26068.07704928483
2024-11-08,26138.954991938772
2024-11-09,26177.351215254494
2024-11-10,26258.737843791005
2024-11-11,26304.464998232666
2024-11-12,26310.2160337631
2024-11-13,26359.545781288092
2024-11-14,26439.69382197571
2024-11-15,26490.333113433764
2024-11-16,26505.078506265738
2024-11-17,26565.951641052507
2024-11-18,26598.382164228737
2024-11-19,26590.045273428565
2024-11-20,26635.096997803244
2024-11-21,26716.623742151525
2024-11-22,26770.204567478413
2024-11-23,26788.539080719514
2024-11-24,26855.50455878333
2024-11-25,26898.975489384222
2024-11-26,26901.06555024309
2024-11-27,26962.26202921086
2024-11-28,27061.578092583935
2024-11-29,27133.219486776354
2024-11-30,27161.01541002489
2024-12-01,27229.25719942538
2024-12-02,27176.157797656873
2024-12-03,27072.428984391398
2024-12-04,27034.265389250344
2024-12-05,27026.87787289273
2024-12-06,27006.443418831674
2024-12-07,26950.98091000701
2024-12-08,26947.19419037616
2024-12-09,26921.89699910415
2024-12-10,26859.189784268474
2024-12-11,26854.33962155344
2024-12-12,26872.73072002622
2024-12-13,26875.78991524981
2024-12-14,26844.899767824743
2024-12-15,26862.028925813327
2024-12-16,26851.369345979627
2024-12-17,26802.6279052284
2024-12-18,26804.614675585002
2024-12-19,26825.879046377293
2024-12-20,26828.103833978243
2024-12-21,26795.675107158575
2024-12-22,26808.479536726256
2024-12-23,26788.6738074616
2024-12-24,26729.796424814238
2024-12-25,26719.728744467426
2024-12-26,26726.787527574357
2024-12-27,26712.422064155056
2024-12-28,26664.305755487105
2024-12-29,26654.3207075421
2024-12-30,26607.885788615356
2024-12-31,26511.187016751835
