Date,Harga_BawangPutih_Forecast
2024-10-01,37804.490950316525
2024-10-02,37567.21146556621
2024-10-03,37480.48257730377
2024-10-04,37399.4538962405
2024-10-05,37354.49290436615
2024-10-06,37394.63154360902
2024-10-07,37456.06784102539
2024-10-08,37435.8877845455
2024-10-09,37326.20164710543
2024-10-10,37209.9334277485
2024-10-11,37111.271272481674
2024-10-12,37055.488402337476
2024-10-13,37084.72695312004
2024-10-14,37136.482363923664
2024-10-15,37171.54574655469
2024-10-16,37096.9438234319
2024-10-17,36972.18212357816
2024-10-18,36825.93637677927
2024-10-19,36746.84650440944
2024-10-20,36766.63806821429
2024-10-21,36795.86236573785
2024-10-22,36824.75372174967
2024-10-23,36737.41303975437
2024-10-24,36602.50411589056
2024-10-25,36479.941438074224
2024-10-26,36445.53187801672
2024-10-27,36486.96756382944
2024-10-28,36506.767167934246
2024-10-29,36486.49282066398
2024-10-30,36550.20561937186
2024-10-31,36516.536497846486
2024-11-01,36466.088366721735
2024-11-02,36414.03583028799
2024-11-03,36381.34689442064
2024-11-04,36324.36163396514
2024-11-05,36277.24620717131
2024-11-06,36221.56493718108
2024-11-07,36133.47742096051
2024-11-08,36063.179982058515
2024-11-09,35982.06285769575
2024-11-10,35964.235868091026
2024-11-11,35939.55872565961
2024-11-12,35915.75103202776
2024-11-13,35891.61861991823
2024-11-14,35827.56666673956
2024-11-15,35769.97856652161
2024-11-16,35698.56041944649
2024-11-17,35689.901381864256
2024-11-18,35673.871033831056
2024-11-19,35653.41066325731
2024-11-20,35636.13790614713
2024-11-21,35568.12902898659
2024-11-22,35503.95574037225
2024-11-23,35422.930348522605
2024-11-24,35404.160085546
2024-11-25,35374.5544219769
2024-11-26,35331.04945533057
2024-11-27,35289.03267511209
2024-11-28,35157.85390222464
2024-11-29,35014.93757054304
2024-11-30,34879.55646179103
2024-12-01,34877.20010570224
2024-12-02,34874.1870032945
2024-12-03,34854.781922089714
2024-12-04,34855.64771620748
2024-12-05,34762.07726362058
2024-12-06,34689.83315845928
2024-12-07,34622.62611848505
2024-12-08,34606.90788027734
2024-12-09,34591.815689061485
2024-12-10,34581.143835479415
2024-12-11,34597.58314240573
2024-12-12,34496.43169199974
2024-12-13,34422.209307581594
2024-12-14,34351.1503243601
2024-12-15,34335.564842468666
2024-12-16,34315.61859425675
2024-12-17,34305.59297978348
2024-12-18,34325.5490042692
2024-12-19,34224.291385357006
2024-12-20,34154.97157383578
2024-12-21,34088.434345667934
2024-12-22,34064.47160216084
2024-12-23,34030.07684356462
2024-12-24,34035.04748491002
2024-12-25,34077.42132754009
2024-12-26,33956.823954860236
2024-12-27,33880.77811264287
2024-12-28,33759.96013423302
2024-12-29,33683.82968613205
2024-12-30,33567.32400382535
2024-12-31,33420.27477523332
