Date,Harga_BerasMedium_Forecast
2024-10-01,13501.825287486436
2024-10-02,13524.819503478435
2024-10-03,13519.440248610925
2024-10-04,13508.194847127548
2024-10-05,13491.126910340097
2024-10-06,13458.26997796447
2024-10-07,13433.608449286294
2024-10-08,13427.136482024456
2024-10-09,13435.149179836297
2024-10-10,13436.63767399613
2024-10-11,13431.397027782532
2024-10-12,13423.120475460355
2024-10-13,13396.960126824288
2024-10-14,13386.599585494361
2024-10-15,13390.925366000158
2024-10-16,13410.712146155865
2024-10-17,13416.407613403857
2024-10-18,13410.59115209864
2024-10-19,13400.914421560006
2024-10-20,13368.778108408744
2024-10-21,13352.17276737422
2024-10-22,13349.09203515408
2024-10-23,13355.974483258658
2024-10-24,13353.02203389437
2024-10-25,13323.735519526716
2024-10-26,13297.437169636625
2024-10-27,13228.381269234413
2024-10-28,13171.99658080721
2024-10-29,13135.728855113568
2024-10-30,13106.044129380864
2024-10-31,13073.279035867952
2024-11-01,13063.418506123913
2024-11-02,13037.632315817422
2024-11-03,13000.286516066695
2024-11-04,12964.606328282465
2024-11-05,12944.021789116914
2024-11-06,12937.745161658308
2024-11-07,12926.394376294767
2024-11-08,12905.304358944357
2024-11-09,12898.097741520796
2024-11-10,12874.494546403419
2024-11-11,12850.968855511454
2024-11-12,12846.374847216144
2024-11-13,12847.0843510226
2024-11-14,12843.858389489795
2024-11-15,12833.23405438952
2024-11-16,12827.291436128047
2024-11-17,12812.83938842823
2024-11-18,12796.431391616565
2024-11-19,12794.487833462383
2024-11-20,12797.471078000874
2024-11-21,12795.923726792118
2024-11-22,12786.651585317331
2024-11-23,12781.59801826852
2024-11-24,12768.439185665293
2024-11-25,12753.606298237157
2024-11-26,12752.888533792257
2024-11-27,12756.51228151019
2024-11-28,12755.893037326745
2024-11-29,12746.472204359945
2024-11-30,12741.249415702985
2024-12-01,12725.13819447546
2024-12-02,12726.558963548041
2024-12-03,12737.003811982098
2024-12-04,12751.422938608112
2024-12-05,12761.754871403422
2024-12-06,12760.594251701876
2024-12-07,12765.85287695209
2024-12-08,12754.261864933766
2024-12-09,12744.678431017572
2024-12-10,12746.807124656907
2024-12-11,12759.801473371093
2024-12-12,12763.144541601858
2024-12-13,12756.230812403168
2024-12-14,12757.045396389845
2024-12-15,12742.468770973477
2024-12-16,12730.26556061038
2024-12-17,12731.051900502374
2024-12-18,12741.598609897259
2024-12-19,12742.833453864836
2024-12-20,12733.598667483018
2024-12-21,12731.932812556568
2024-12-22,12714.098519333362
2024-12-23,12698.425476383361
2024-12-24,12695.091822850825
2024-12-25,12699.992750308367
2024-12-26,12695.50631253281
2024-12-27,12679.262799610184
2024-12-28,12670.79783184347
2024-12-29,12645.33010129704
2024-12-30,12621.207761497377
2024-12-31,12610.641615306151
