Date,Harga_BerasPremium_BiLSTM,Harga_BerasPremium_GRU,Harga_BerasPremium_Ensemble
2024-10-01,14686.016495432787,14868.71421248297,14777.365353957877
2024-10-02,14676.637950786078,14902.391921170236,14789.514935978157
2024-10-03,14673.45561377037,14885.7387154575,14779.597164613935
2024-10-04,14668.342289368195,14878.303105216892,14773.322697292544
2024-10-05,14661.172735227688,14877.069474762833,14769.121104995262
2024-10-06,14648.841531661777,14875.327223439304,14762.084377550542
2024-10-07,14634.203747889984,14883.101377314859,14758.652562602421
2024-10-08,14620.290168285723,14902.888058075372,14761.589113180547
2024-10-09,14621.86959112821,14925.212607972384,14773.541099550297
2024-10-10,14622.563994864755,14929.75797911546,14776.160986990108
2024-10-11,14615.58492185747,14934.339996734485,14774.962459295977
2024-10-12,14607.400005284482,14944.456974583343,14775.928489933913
2024-10-13,14596.935758449263,14943.633972590544,14770.284865519903
2024-10-14,14584.43313528707,14948.10282911351,14766.26798220029
2024-10-15,14573.048833704068,14962.57295190194,14767.810892803005
2024-10-16,14576.781404803693,14980.958072752679,14778.869738778187
2024-10-17,14579.963339110875,14982.026458474535,14780.994898792705
2024-10-18,14576.671062667323,14983.814618570128,14780.242840618725
2024-10-19,14570.271352994067,14991.890535368502,14781.080944181285
2024-10-20,14562.36417106846,14989.110772643515,14775.737471855988
2024-10-21,14551.727430747555,14991.17451960768,14771.450975177617
2024-10-22,14542.857506970317,15004.682571725358,14773.770039347837
2024-10-23,14546.798546850698,15019.481707380262,14783.14012711548
2024-10-24,14550.007865337708,15017.084249283474,14783.546057310592
2024-10-25,14549.420045124616,15015.908071912587,14782.664058518601
2024-10-26,14543.988044041489,15021.858358869827,14782.923201455658
2024-10-27,14537.98795546309,15017.395542974764,14777.691749218928
2024-10-28,14526.689162323964,15017.812883244806,14772.251022784385
2024-10-29,14518.405582161888,15029.785407749427,14774.095494955658
2024-10-30,14527.33873117785,15043.01787299853,14785.178302088189
2024-10-31,14535.776011761025,15039.59834066048,14787.687176210751
2024-11-01,14538.1707851343,15036.3530468784,14787.26191600635
2024-11-02,14539.014459498147,15040.306302250761,14789.660380874455
2024-11-03,14539.678525858999,15038.38497986894,14789.03175286397
2024-11-04,14535.581772014884,15036.128469756566,14785.855120885724
2024-11-05,14524.882746108486,15046.166785206506,14785.524765657496
2024-11-06,14523.792748362353,15056.007773478264,14789.900260920309
