Date,Harga_BerasPremium_Forecast
2024-10-01,14906.391488023191
2024-10-02,14957.316800208891
2024-10-03,14976.456865311386
2024-10-04,14950.318397192315
2024-10-05,14968.303896948199
2024-10-06,14947.3200979734
2024-10-07,14917.495235999122
2024-10-08,14902.837451037158
2024-10-09,14924.218589091828
2024-10-10,14918.295954786769
2024-10-11,14883.420993649039
2024-10-12,14889.554378749843
2024-10-13,14876.567297229794
2024-10-14,14861.08248318976
2024-10-15,14855.760555770654
2024-10-16,14896.470226518404
2024-10-17,14892.690270048783
2024-10-18,14863.658072691613
2024-10-19,14875.062375464784
2024-10-20,14864.395834712886
2024-10-21,14848.615835322638
2024-10-22,14844.31974075771
2024-10-23,14880.63881467289
2024-10-24,14876.560988129539
2024-10-25,14845.36436667648
2024-10-26,14851.884620435454
2024-10-27,14843.336192298855
2024-10-28,14823.77113546431
2024-10-29,14804.705302966942
2024-10-30,14819.914530138401
2024-10-31,14818.277654212745
2024-11-01,14805.195399244174
2024-11-02,14795.19010589344
2024-11-03,14788.75267585483
2024-11-04,14776.553829158094
2024-11-05,14764.629629676701
2024-11-06,14771.428960444815
2024-11-07,14772.413180084548
2024-11-08,14759.37200138572
2024-11-09,14759.931497765756
2024-11-10,14764.313369246911
2024-11-11,14762.987787012546
2024-11-12,14759.57147634271
2024-11-13,14770.012768791898
2024-11-14,14773.712988973193
2024-11-15,14762.298081542147
2024-11-16,14762.93234747201
2024-11-17,14767.046820491307
2024-11-18,14765.157714791638
2024-11-19,14761.081901790922
2024-11-20,14771.219552010829
2024-11-21,14772.932942556596
2024-11-22,14760.172048992488
2024-11-23,14758.775590057388
2024-11-24,14760.229502075657
2024-11-25,14755.535263013806
2024-11-26,14747.771311087601
2024-11-27,14754.284450329267
2024-11-28,14749.37006393938
2024-11-29,14728.973413996793
2024-11-30,14718.390770854667
2024-12-01,14707.833364113558
2024-12-02,14712.432832435414
2024-12-03,14711.421497088202
2024-12-04,14724.684433949174
2024-12-05,14723.688133053633
2024-12-06,14710.227197833605
2024-12-07,14708.96604896354
2024-12-08,14707.641137910054
2024-12-09,14704.171938187019
2024-12-10,14698.211180808079
2024-12-11,14708.007602669528
2024-12-12,14706.145612677337
2024-12-13,14691.716968867177
2024-12-14,14690.806176415514
2024-12-15,14690.067206268659
2024-12-16,14687.815662894784
2024-12-17,14683.396876465327
2024-12-18,14694.88346601416
2024-12-19,14696.928554149914
2024-12-20,14684.626882542643
2024-12-21,14687.047966206343
2024-12-22,14688.35972211462
2024-12-23,14687.465574948734
2024-12-24,14686.61747079109
2024-12-25,14703.801446342275
2024-12-26,14709.446882944656
2024-12-27,14700.490913778838
2024-12-28,14705.977280513094
2024-12-29,14709.723946411159
2024-12-30,14709.44580905525
2024-12-31,14706.612083387658
