Date,Harga_CabaiMerah_Forecast
2024-10-01,34998.489502783596
2024-10-02,34371.49488571538
2024-10-03,33889.65785937431
2024-10-04,33812.56736538467
2024-10-05,33599.281696143466
2024-10-06,33216.50575448263
2024-10-07,33427.50841846342
2024-10-08,32907.864596328196
2024-10-09,32533.874794695024
2024-10-10,32351.48020664859
2024-10-11,32397.583382577308
2024-10-12,32479.072187202204
2024-10-13,32339.918442946633
2024-10-14,32803.23416033447
2024-10-15,32497.804073852665
2024-10-16,32239.182265091193
2024-10-17,32118.815672221106
2024-10-18,32249.61777160708
2024-10-19,32357.516449688963
2024-10-20,32232.34563623331
2024-10-21,32717.642425554586
2024-10-22,32443.00813624166
2024-10-23,32231.85492349996
2024-10-24,32250.22854221306
2024-10-25,32538.73332717535
2024-10-26,32897.40812732661
2024-10-27,33187.684242330266
2024-10-28,34151.88235715483
2024-10-29,34250.11065944875
2024-10-30,34195.36522237147
2024-10-31,34506.80868372743
2024-11-01,34706.75649502402
2024-11-02,34875.75796039082
2024-11-03,35021.982732207965
2024-11-04,35228.05921205005
2024-11-05,35102.13470194957
2024-11-06,35161.21079800373
2024-11-07,35412.01645812114
2024-11-08,35476.51612092918
2024-11-09,35524.068566891736
2024-11-10,35537.63605933875
2024-11-11,35723.31079997658
2024-11-12,35544.78617264182
2024-11-13,35531.7989599125
2024-11-14,35698.659869637595
2024-11-15,35733.93163392283
2024-11-16,35777.17676549486
2024-11-17,35727.13121299479
2024-11-18,35893.69626581949
2024-11-19,35713.27072216815
2024-11-20,35675.51299764734
2024-11-21,35882.12497371495
2024-11-22,35982.950242134604
2024-11-23,36107.87665206384
2024-11-24,36154.04747965094
2024-11-25,36401.490566494555
2024-11-26,36336.04378046913
2024-11-27,36447.131138477554
2024-11-28,36783.206473367325
2024-11-29,36962.55626036632
2024-11-30,37174.61943555531
2024-12-01,37290.64631746606
2024-12-02,37390.97515611081
2024-12-03,37250.47933635053
2024-12-04,37287.806853494425
2024-12-05,37508.469412020335
2024-12-06,37611.496217858265
2024-12-07,37693.82113981038
2024-12-08,37751.43748458784
2024-12-09,37875.57256068203
2024-12-10,37773.241328233125
2024-12-11,37798.202884496524
2024-12-12,38026.42241911606
2024-12-13,38110.14372846765
2024-12-14,38172.48139672815
2024-12-15,38207.33200561894
2024-12-16,38301.02955248161
2024-12-17,38178.06885200657
2024-12-18,38134.97236351493
2024-12-19,38304.49789102415
2024-12-20,38333.84775310008
2024-12-21,38341.32373777171
2024-12-22,38324.9482250816
2024-12-23,38364.06851117269
2024-12-24,38173.171729495756
2024-12-25,38048.13193157571
2024-12-26,38152.365986021716
2024-12-27,38122.9923029393
2024-12-28,38066.8271338762
2024-12-29,37972.60743055163
2024-12-30,37917.26122769109
2024-12-31,37613.63963202074
