Date,Harga_DagingSapi_Forecast
2024-10-01,153162.13016359086
2024-10-02,152991.3225268941
2024-10-03,152939.30516793136
2024-10-04,152878.41252515357
2024-10-05,152862.2488072012
2024-10-06,152935.5568057835
2024-10-07,153105.77024650847
2024-10-08,153119.1715616612
2024-10-09,153078.11138394376
2024-10-10,153015.05156240024
2024-10-11,152939.93759346736
2024-10-12,152899.24374056704
2024-10-13,152968.25568290733
2024-10-14,153113.85640900032
2024-10-15,153112.82911199325
2024-10-16,153065.46122354266
2024-10-17,152969.574088841
2024-10-18,152839.30886910984
2024-10-19,152826.52867081025
2024-10-20,152893.58308732318
2024-10-21,153040.78060899678
2024-10-22,153030.43103634714
2024-10-23,152992.71810920877
2024-10-24,152877.54417132522
2024-10-25,152753.49571469607
2024-10-26,152752.367811056
2024-10-27,152832.0811623603
2024-10-28,153037.67978250663
2024-10-29,153098.37374631103
2024-10-30,153112.94394413635
2024-10-31,153201.29261044032
2024-11-01,153203.6080931377
2024-11-02,153184.36592697664
2024-11-03,153185.38239346928
2024-11-04,153203.79101646206
2024-11-05,153158.66616819508
2024-11-06,153133.7819256328
2024-11-07,153131.9689979319
2024-11-08,153120.81000571014
2024-11-09,153101.70880359568
2024-11-10,153104.33301572548
2024-11-11,153125.7300717242
2024-11-12,153084.78037481735
2024-11-13,153065.06683024
2024-11-14,153035.85351390715
2024-11-15,153025.97335918335
2024-11-16,153029.40182666646
2024-11-17,153047.38717498473
2024-11-18,153069.69566778533
2024-11-19,153028.75237833514
2024-11-20,153008.53326630034
2024-11-21,152980.70977035287
2024-11-22,152974.13026869678
2024-11-23,152978.77318830174
2024-11-24,152981.93961949743
2024-11-25,153002.87916396366
2024-11-26,152961.46330067614
2024-11-27,152941.16132205632
2024-11-28,152935.81004377222
2024-11-29,152930.0801517429
2024-11-30,152908.97609343604
2024-12-01,152894.01965507938
2024-12-02,152924.63333541097
2024-12-03,152898.67911931124
2024-12-04,152894.18079783279
2024-12-05,152913.64387779817
2024-12-06,152918.48705433225
2024-12-07,152908.97245935613
2024-12-08,152921.3921186763
2024-12-09,152955.01405209434
2024-12-10,152926.26388968117
2024-12-11,152916.4584726795
2024-12-12,152930.42405046173
2024-12-13,152935.35291477447
2024-12-14,152917.94662839788
2024-12-15,152930.00010635148
2024-12-16,152962.27073584936
2024-12-17,152930.1377232192
2024-12-18,152923.62583457597
2024-12-19,152938.65658030318
2024-12-20,152926.24791885636
2024-12-21,152910.5197166897
2024-12-22,152941.69161082045
2024-12-23,152977.42322325316
2024-12-24,152947.20642269996
2024-12-25,152952.1891287754
2024-12-26,152953.37689910008
2024-12-27,152914.48727123564
2024-12-28,152892.0979918826
2024-12-29,152925.22081311664
2024-12-30,152959.753752985
2024-12-31,152924.12312971996
