Date,Harga_MinyakGorengCurah_Forecast
2024-10-01,15124.52100037687
2024-10-02,15145.459050431102
2024-10-03,15136.135288818454
2024-10-04,15090.290862116455
2024-10-05,15056.53820864443
2024-10-06,15015.7812781466
2024-10-07,14986.326889385242
2024-10-08,14968.532612330733
2024-10-09,14964.199555881623
2024-10-10,14939.680449468759
2024-10-11,14899.74128393285
2024-10-12,14874.434006750214
2024-10-13,14844.641830516097
2024-10-14,14818.898224625913
2024-10-15,14802.457378018462
2024-10-16,14799.474304664282
2024-10-17,14774.654960398804
2024-10-18,14733.781562435097
2024-10-19,14706.939471047068
2024-10-20,14673.822880561505
2024-10-21,14638.076199061996
2024-10-22,14623.885465709258
2024-10-23,14610.422229728765
2024-10-24,14577.457693990322
2024-10-25,14523.726202935772
2024-10-26,14479.148996359436
2024-10-27,14423.508215844618
2024-10-28,14375.177797447794
2024-10-29,14359.261545021522
2024-10-30,14336.726562128282
2024-10-31,14315.318359538465
2024-11-01,14278.351487751801
2024-11-02,14239.030087717963
2024-11-03,14198.241605661224
2024-11-04,14159.916578234745
2024-11-05,14132.221134603555
2024-11-06,14101.230287515016
2024-11-07,14067.860462497258
2024-11-08,14040.299889888713
2024-11-09,14035.529072755015
2024-11-10,14014.45407000781
2024-11-11,13991.404702399324
2024-11-12,13981.225811831262
2024-11-13,13971.1613203178
2024-11-14,13954.645560096711
2024-11-15,13932.70952811833
2024-11-16,13924.342168059498
2024-11-17,13897.864673936578
2024-11-18,13876.193451638128
2024-11-19,13862.415419371788
2024-11-20,13851.567318200607
2024-11-21,13837.058314691796
2024-11-22,13823.802344128722
2024-11-23,13823.87333306455
2024-11-24,13807.578601151314
2024-11-25,13794.908972149722
2024-11-26,13789.201482923641
2024-11-27,13786.896052926257
2024-11-28,13779.818241227667
2024-11-29,13776.258346307508
2024-11-30,13783.164294243265
2024-12-01,13778.729090098672
2024-12-02,13764.30520966943
2024-12-03,13754.473891750566
2024-12-04,13749.195147057342
2024-12-05,13744.310196049979
2024-12-06,13745.643631854673
2024-12-07,13753.05204462273
2024-12-08,13748.786025913543
2024-12-09,13738.1669615144
2024-12-10,13733.045363042216
2024-12-11,13736.725862250812
2024-12-12,13734.466361591065
2024-12-13,13739.196924259097
2024-12-14,13750.0580458141
2024-12-15,13753.620751652152
2024-12-16,13744.919953087867
2024-12-17,13739.855156371581
2024-12-18,13743.997494693505
2024-12-19,13741.463956057349
2024-12-20,13746.682610751099
2024-12-21,13758.176347940434
2024-12-22,13761.022057571197
2024-12-23,13751.690658747673
2024-12-24,13744.386780303497
2024-12-25,13745.43848788472
2024-12-26,13742.122665495512
2024-12-27,13742.522982632328
2024-12-28,13748.06245321911
2024-12-29,13743.7504521361
2024-12-30,13735.60122991295
2024-12-31,13728.876665735526
