Date,Harga_TelurAyam_Forecast
2024-10-01,24929.38148406534
2024-10-02,24876.55938243812
2024-10-03,24799.440672139917
2024-10-04,24718.637043011677
2024-10-05,24687.35857107932
2024-10-06,24640.056279892
2024-10-07,24567.04015794728
2024-10-08,24515.720226364727
2024-10-09,24491.361111289196
2024-10-10,24442.69829108871
2024-10-11,24390.69071049765
2024-10-12,24373.99738925486
2024-10-13,24344.240569882866
2024-10-14,24313.315742271145
2024-10-15,24306.27401740911
2024-10-16,24309.90588304451
2024-10-17,24253.798908813566
2024-10-18,24208.404961462646
2024-10-19,24194.97998934588
2024-10-20,24160.455714585907
2024-10-21,24134.45341690247
2024-10-22,24133.571990184028
2024-10-23,24142.279627255622
2024-10-24,24099.853621207974
2024-10-25,24075.07008057533
2024-10-26,24081.028273804695
2024-10-27,24066.76791026869
2024-10-28,24049.228199412308
2024-10-29,24047.283509162207
2024-10-30,24047.386473210245
2024-10-31,23994.370881921037
2024-11-01,24001.127125081217
2024-11-02,24032.941444753906
2024-11-03,24047.839494072665
2024-11-04,24080.58101390122
2024-11-05,24119.857451321794
2024-11-06,24154.230946074495
2024-11-07,24170.686287340544
2024-11-08,24203.14771981971
2024-11-09,24229.001594251808
2024-11-10,24247.393822287202
2024-11-11,24284.079975449466
2024-11-12,24312.241690034556
2024-11-13,24342.273883244074
2024-11-14,24362.170297659763
2024-11-15,24393.564014957177
2024-11-16,24412.691027119712
2024-11-17,24427.36120432606
2024-11-18,24454.825214410666
2024-11-19,24481.950322992303
2024-11-20,24505.39842096936
2024-11-21,24523.49610688565
2024-11-22,24537.297688600294
2024-11-23,24549.122266322396
2024-11-24,24563.63857355258
2024-11-25,24586.143288316372
2024-11-26,24607.713837401207
2024-11-27,24625.28505022854
2024-11-28,24640.151780879587
2024-11-29,24652.728111371536
2024-11-30,24662.058089126152
2024-12-01,24675.38323953612
2024-12-02,24684.19682587993
2024-12-03,24694.781907099044
2024-12-04,24699.30119608742
2024-12-05,24699.610952375373
2024-12-06,24697.068222214526
2024-12-07,24693.803172546803
2024-12-08,24692.527512933346
2024-12-09,24692.136736613702
2024-12-10,24697.311963150212
2024-12-11,24699.731958699373
2024-12-12,24697.293685198656
2024-12-13,24707.062517093924
2024-12-14,24701.79040170244
2024-12-15,24693.620314472682
2024-12-16,24681.666586525524
2024-12-17,24682.18355403222
2024-12-18,24694.140476692977
2024-12-19,24680.018690405752
2024-12-20,24681.563648663665
2024-12-21,24673.964786699384
2024-12-22,24656.345286561627
2024-12-23,24641.06497143075
2024-12-24,24636.47518925384
2024-12-25,24647.27845369987
2024-12-26,24626.802434442052
2024-12-27,24624.181041005442
2024-12-28,24613.096170411758
2024-12-29,24591.73618437633
2024-12-30,24578.74705498986
2024-12-31,24573.504058627226
