Date,Harga_TepungTerigu_Forecast
2024-10-01,10907.398267046841
2024-10-02,10901.163106824712
2024-10-03,10892.13141854225
2024-10-04,10864.97714637054
2024-10-05,10858.074790147308
2024-10-06,10849.39511970944
2024-10-07,10846.304309070732
2024-10-08,10843.23986165458
2024-10-09,10853.83448374057
2024-10-10,10852.819910701455
2024-10-11,10845.764068522982
2024-10-12,10859.540850100593
2024-10-13,10859.629130572637
2024-10-14,10847.334663719868
2024-10-15,10860.16408987294
2024-10-16,10871.945200356144
2024-10-17,10873.917442785401
2024-10-18,10871.816634241803
2024-10-19,10890.643072202676
2024-10-20,10892.246200839723
2024-10-21,10889.139164105916
2024-10-22,10896.38916501409
2024-10-23,10897.333614557681
2024-10-24,10888.936144351086
2024-10-25,10868.62316666741
2024-10-26,10870.084786549312
2024-10-27,10843.202553584373
2024-10-28,10807.937097832424
2024-10-29,10809.390740879946
2024-10-30,10823.213854052814
2024-10-31,10832.344552581544
2024-11-01,10833.03470886567
2024-11-02,10836.591339867504
2024-11-03,10836.48322484622
2024-11-04,10835.765706442964
2024-11-05,10843.52095784227
2024-11-06,10853.508637942154
2024-11-07,10851.208183906798
2024-11-08,10849.05955259219
2024-11-09,10850.959210130057
2024-11-10,10849.841894125886
2024-11-11,10849.090829047665
2024-11-12,10856.337761574969
2024-11-13,10861.29648491394
2024-11-14,10859.029152186109
2024-11-15,10856.249571911705
2024-11-16,10857.335802636779
2024-11-17,10857.143985817711
2024-11-18,10855.834833876834
2024-11-19,10861.21896289258
2024-11-20,10864.676406809993
2024-11-21,10860.306081348439
2024-11-22,10854.436531611393
2024-11-23,10852.179579760897
2024-11-24,10848.381144096506
2024-11-25,10843.283086633692
2024-11-26,10846.722536074505
2024-11-27,10846.6193629626
2024-11-28,10838.497000343645
2024-11-29,10829.508962407737
2024-11-30,10824.18578520077
2024-12-01,10815.289934904136
2024-12-02,10809.32487822795
2024-12-03,10813.444126972601
2024-12-04,10817.07284341754
2024-12-05,10808.717537161156
2024-12-06,10801.702797903998
2024-12-07,10799.784270062752
2024-12-08,10796.159723652561
2024-12-09,10792.040157077183
2024-12-10,10797.657197469343
2024-12-11,10803.066375370043
2024-12-12,10796.1789512168
2024-12-13,10791.613869599363
2024-12-14,10792.956632737232
2024-12-15,10789.971543830525
2024-12-16,10786.152949811903
2024-12-17,10793.026943824578
2024-12-18,10799.677654581184
2024-12-19,10793.205163223747
2024-12-20,10789.63216274453
2024-12-21,10792.212125008784
2024-12-22,10790.756647862883
2024-12-23,10787.976295116427
2024-12-24,10795.61678751788
2024-12-25,10802.061490193893
2024-12-26,10798.375043262147
2024-12-27,10798.109024916437
2024-12-28,10804.941657919688
2024-12-29,10810.269765087507
2024-12-30,10813.337388421241
2024-12-31,10825.962530665682
