Date,Harga_DagingAyam_BiLSTM,Harga_DagingAyam_GRU,Harga_DagingAyam_Ensemble
2024-10-01,30080.000000618766,30080.00063673011,30080.000318674436
2024-10-02,30080.000000619708,30079.9975961959,30079.998798407803
2024-10-03,30080.00000062111,30079.994959293865,30079.997479957485
2024-10-04,30080.00000062268,30079.99415312987,30079.997076876272
2024-10-05,30080.000000624223,30079.991320024244,30079.99566032423
2024-10-06,30080.00000062563,30079.990014783107,30079.99500770437
2024-10-07,30080.000000626856,30079.991768360138,30079.995884493495
2024-10-08,30080.00000062789,30079.988798044622,30079.994399336254
2024-10-09,30080.00000062871,30079.99070310779,30079.99535186825
2024-10-10,30080.000000629334,30079.99196596071,30079.995983295023
2024-10-11,30080.00000062977,30079.993186224252,30079.99659342701
2024-10-12,30080.000000630007,30079.992913991213,30079.99645731061
2024-10-13,30080.000000630047,30079.993294880725,30079.996647755386
2024-10-14,30080.00000062988,30079.994697561488,30079.997349095684
2024-10-15,30080.00000062951,30079.991094564088,30079.995547596798
2024-10-16,30080.0000006289,30079.99249570165,30079.996248165276
2024-10-17,30080.00000062807,30079.992879776284,30079.99644020218
2024-10-18,30080.00000062698,30079.993364320137,30079.99668247356
2024-10-19,30080.0000006256,30079.99296287354,30079.99648174957
2024-10-20,30080.00000062392,30079.993440214545,30079.996720419233
2024-10-21,30080.00000062192,30079.99474387616,30079.99737224904
2024-10-22,30080.0000006196,30079.991224008612,30079.995612314106
2024-10-23,30080.000000616943,30079.992564808577,30079.99628271276
2024-10-24,30080.000000613996,30079.99288497772,30079.99644279586
2024-10-25,30080.000000610784,30079.99336773809,30079.99668417444
2024-10-26,30080.000000607364,30079.992962404154,30079.99648150576
2024-10-27,30080.00000060385,30079.993438833393,30079.99671971862
2024-10-28,30080.000000600365,30079.9947412014,30079.997370900885
2024-10-29,30080.00000059712,30079.991238410585,30079.995619503854
2024-10-30,30080.000000594307,30079.992580670863,30079.996290632585
2024-10-31,30080.000000592296,30079.992882374674,30079.996441483483
2024-11-01,30080.000000592296,30079.99336687103,30079.99668373166
2024-11-02,30080.00000059221,30079.993568022735,30079.99678430747
2024-11-03,30080.00000059218,30079.99405057542,30079.997025583798
2024-11-04,30080.000000592187,30079.995129562914,30079.997565077552
2024-11-05,30080.00000059223,30079.994707887992,30079.997354240113
2024-11-06,30080.00000059228,30079.994718776084,30079.99735968418
2024-11-07,30080.000000592358,30079.99451130163,30079.997255946993
2024-11-08,30080.000000592438,30079.9947992675,30079.99739992997
2024-11-09,30080.000000592525,30079.994655159302,30079.997327875913
2024-11-10,30080.000000592612,30079.99467236735,30079.99733647998
2024-11-11,30080.0000005927,30079.99562605098,30079.99781332184
2024-11-12,30080.000000592794,30079.994980249554,30079.997490421174
2024-11-13,30080.00000059289,30079.99493455887,30079.99746757588
2024-11-14,30080.000000592994,30079.99467831012,30079.997339451555
2024-11-15,30080.000000593107,30079.99492603354,30079.997463313324
2024-11-16,30080.000000593223,30079.994752681814,30079.99737663752
2024-11-17,30080.000000593354,30079.994743754156,30079.997372173755
2024-11-18,30080.000000593485,30079.99571812991,30079.997859361698
2024-11-19,30080.000000593634,30079.995018949732,30079.99750977168
2024-11-20,30080.000000593795,30079.994963344187,30079.99748196899
2024-11-21,30080.000000593976,30079.994698941708,30079.997349767844
2024-11-22,30080.000000594187,30079.994940352626,30079.997470473405
2024-11-23,30080.00000059442,30079.994762715884,30079.99738165515
2024-11-24,30080.00000059468,30079.99475059565,30079.997375595165
2024-11-25,30080.000000594966,30079.995725258254,30079.99786292661
2024-11-26,30080.000000595297,30079.99502232764,30079.997511461468
2024-11-27,30080.00000059565,30079.994965778664,30079.99748318716
2024-11-28,30080.00000059603,30079.994700687006,30079.99735064152
2024-11-29,30080.000000596403,30079.994941617362,30079.997471106883
2024-11-30,30080.000000596723,30079.994763722643,30079.997382159683
2024-12-01,30080.00000059691,30079.994751378894,30079.9973759879
2024-12-02,30080.000000596796,30079.995066124015,30079.997533360405
2024-12-03,30080.00000059671,30079.99425076507,30079.99712568089
2024-12-04,30080.000000596654,30079.994018225,30079.99700941083
2024-12-05,30080.000000596636,30079.993622799404,30079.99681169802
2024-12-06,30080.00000059664,30079.99377527833,30079.996887937486
2024-12-07,30080.000000596658,30079.99354682956,30079.99677371311
2024-12-08,30080.000000596683,30079.9936015103,30079.996801053494
2024-12-09,30080.000000596705,30079.994769019075,30079.997384807888
2024-12-10,30080.000000596734,30079.99386276491,30079.99693168082
2024-12-11,30080.000000596756,30079.993715264834,30079.996857930797
2024-12-12,30080.000000596778,30079.99336714577,30079.99668387127
2024-12-13,30080.000000596785,30079.9935758207,30079.996788208744
2024-12-14,30080.000000596778,30079.99337920267,30079.996689899723
2024-12-15,30080.00000059676,30079.993476578966,30079.996738587863
2024-12-16,30080.00000059671,30079.99469541665,30079.99734800668
2024-12-17,30080.00000059665,30079.993792617694,30079.996896607172
2024-12-18,30080.00000059655,30079.993656003848,30079.996828300198
2024-12-19,30080.00000059643,30079.993331242353,30079.99666591939
2024-12-20,30080.000000596276,30079.993551395833,30079.996775996056
2024-12-21,30080.000000596076,30079.993362348527,30079.9966814723
2024-12-22,30080.000000595828,30079.993464874104,30079.996732734966
2024-12-23,30080.000000595533,30079.994682020508,30079.997341308022
2024-12-24,30080.000000595184,30079.99378319364,30079.996891894414
2024-12-25,30080.000000594784,30079.993649459444,30079.996825027112
2024-12-26,30080.000000594333,30079.99332942255,30079.99666500844
2024-12-27,30080.00000059385,30079.993550186977,30079.996775390413
2024-12-28,30080.000000593343,30079.99336145632,30079.99668102483
2024-12-29,30080.00000059285,30079.993464262225,30079.996732427535
