Date,Harga_DagingAyam_Forecast
2024-10-01,30079.999945040265
2024-10-02,30079.99994522234
2024-10-03,30079.999945267733
2024-10-04,30079.999945231844
2024-10-05,30079.999945156458
2024-10-06,30079.999945062653
2024-10-07,30079.99994496355
2024-10-08,30079.999944866286
2024-10-09,30079.999944774157
2024-10-10,30079.999944689895
2024-10-11,30079.999944613013
2024-10-12,30079.999944546296
2024-10-13,30079.99994448835
2024-10-14,30079.999944439274
2024-10-15,30079.999944398598
2024-10-16,30079.999944365227
2024-10-17,30079.999944339284
2024-10-18,30079.9999443188
2024-10-19,30079.999944305604
2024-10-20,30079.99994429766
2024-10-21,30079.99994429456
2024-10-22,30079.99994429541
2024-10-23,30079.999944298703
2024-10-24,30079.9999443041
2024-10-25,30079.999944309395
2024-10-26,30079.99994431629
2024-10-27,30079.99994432252
2024-10-28,30079.999944327257
2024-10-29,30079.999944327534
2024-10-30,30079.99994431594
2024-10-31,30079.99994427762
2024-11-01,30079.999944277082
2024-11-02,30079.999944284125
2024-11-03,30079.999944284442
2024-11-04,30079.99994428179
2024-11-05,30079.999944278028
2024-11-06,30079.999944274005
2024-11-07,30079.999944270225
2024-11-08,30079.999944266485
2024-11-09,30079.999944263946
2024-11-10,30079.99994426192
2024-11-11,30079.999944260482
2024-11-12,30079.999944259605
2024-11-13,30079.999944259143
2024-11-14,30079.999944259223
2024-11-15,30079.999944259576
2024-11-16,30079.999944261443
2024-11-17,30079.99994426428
2024-11-18,30079.999944268297
2024-11-19,30079.999944273513
2024-11-20,30079.999944279793
2024-11-21,30079.999944287105
2024-11-22,30079.9999442949
2024-11-23,30079.999944303956
2024-11-24,30079.999944313106
2024-11-25,30079.999944321764
2024-11-26,30079.999944329098
2024-11-27,30079.999944334188
2024-11-28,30079.999944336603
2024-11-29,30079.99994433631
2024-11-30,30079.99994433635
2024-12-01,30079.99994434538
2024-12-02,30079.99994433865
2024-12-03,30079.99994432577
2024-12-04,30079.999944308103
2024-12-05,30079.999944288564
2024-12-06,30079.999944268628
2024-12-07,30079.999944250558
2024-12-08,30079.999944234318
2024-12-09,30079.999944220282
2024-12-10,30079.999944208463
2024-12-11,30079.999944198622
2024-12-12,30079.99994419065
2024-12-13,30079.999944183914
2024-12-14,30079.99994417928
2024-12-15,30079.999944175794
2024-12-16,30079.999944173243
2024-12-17,30079.999944171246
2024-12-18,30079.999944169314
2024-12-19,30079.999944167193
2024-12-20,30079.999944164116
2024-12-21,30079.999944160878
2024-12-22,30079.99994415651
2024-12-23,30079.99994415082
2024-12-24,30079.99994414361
2024-12-25,30079.99994413478
2024-12-26,30079.99994412475
2024-12-27,30079.9999441139
2024-12-28,30079.999944104686
2024-12-29,30079.999944098447
2024-12-30,30079.99994409801
2024-12-31,30079.999944103358
